"Date","Android","iOS","Series 40","SymbianOS","Unknown","Samsung","BlackBerry OS","Windows","Nokia Unknown","Sony Ericsson","Linux","KaiOS","bada","Tizen","LG","Playstation","Firefox OS","MeeGo","Nintendo 3DS","Other"
2009-1,1.69,37.45,0,36.94,12.48,0,4.37,2.3,0,0,0.37,0,0,0,0,3.64,0,0,0,0.76
2009-2,1.27,38.11,0,38.23,10.24,0,7.13,1.65,0,0,0,0,0,0,0,2.76,0,0,0,0.62
2009-3,2.27,33.01,0,31.8,11.81,1.43,8.79,1.99,0,5.34,0,0,0,0,0.26,2.14,0,0,0,1.17
2009-4,3.36,31.41,0,36.37,6.07,1.84,9.54,1.39,0,6.97,0,0,0,0,0.28,1.56,0,0,0,1.2
2010-1,5.43,31.92,0,33.91,5.65,1.69,11.71,0.84,0,6.42,0,0,0,0,0.24,1.13,0,0,0,1.07
2010-2,4.44,28.26,0,33.28,8.63,2.78,14.43,0.29,0,5.9,0,0,0,0,0.1,1.06,0,0,0,0.85
2010-3,9.01,24.81,0,32.1,6.5,2.91,17.13,0.39,0,5.51,0,0,0,0,0.15,0.69,0,0,0,0.81
2010-4,12,22.66,0,31.43,5.44,3.48,18.49,0.45,0,4.9,0,0,0,0,0.12,0.39,0,0,0,0.63
2011-1,15.22,24.64,0,30.51,5.15,4.53,14.52,0.58,0,3.84,0,0,0,0,0.11,0.35,0,0,0,0.55
2011-2,17.27,21.72,0,32.23,5.68,5.26,12.83,0.54,0,3.42,0,0,0.31,0,0.1,0.28,0,0,0,0.38
2011-3,20.13,20.17,0,32.14,5.83,5.81,11.71,0.5,0,2.66,0,0,0.43,0,0.09,0.25,0,0,0,0.28
2011-4,21.94,23.44,0,31.51,5.32,5.43,8.53,0.58,0,1.99,0.09,0,0.5,0,0.08,0.28,0,0.01,0.02,0.29
2012-1,23.83,24.47,0,31.22,4.54,5.68,6.7,0.62,0,1.64,0.11,0,0.56,0,0.07,0.2,0,0.03,0.12,0.21
